styleGuide,characterName,identityName,metadata
Avengers,Hulkbuster Armor Iron Man ( Avengers ),Hulkbuster Armor Iron Man,"{""source_character_name"":""Hulkbuster Armor Iron Man ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035541"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Hydra ( Avengers ),Hydra,"{""source_character_name"":""Hydra ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035267"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Hydra Logo ( Avengers ),Hydra Logo,"{""source_character_name"":""Hydra Logo ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036005"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Hyperion ( Avengers ),Hyperion,"{""source_character_name"":""Hyperion ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036006"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Infinity Gauntlet ( Avengers ),Infinity Gauntlet,"{""source_character_name"":""Infinity Gauntlet ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159088240"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Iron Man ( Avengers ),Iron Man,"{""source_character_name"":""Iron Man ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518033987"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Iron Patriot ( Avengers ),Iron Patriot,"{""source_character_name"":""Iron Patriot ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036007"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Jarvis ( Avengers ),Jarvis,"{""source_character_name"":""Jarvis ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036008"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Kang ( Avengers ),Kang,"{""source_character_name"":""Kang ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036009"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,"Killmonger, Erik ( Avengers )",Erik Killmonger,"{""source_character_name"":""Killmonger, Erik ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""INVERT_SURNAME_FIRST"",""PRIMARY_ONLY""],""source_character_id"":""1159152498"",""rendition"":{""guide_context"":""Avengers""}}"
